,no,nf,time,bns,prc,prc_o,ap,qty,type,profit,prf_opt,mode
0,,,,,,,,,,,,
1,1,211,09-37,s,364.15,364.16,364.2,1,tr 0,0,0,0
2,2,2832,10-01,s,364.65,364.68,364.2,1,cover_b_bns_check0 : 0.96,0,0,0
3,3,3282,10-03,s,364.75,364.8,364.2,1,b-d-out_gray,0,0.1,0
