,count_m,cvol_s_p,cvol_s_m,cvol_t_p,cvol_t_m,cvol_m,dxy_200_p,dxy_200_m,prc_std,prc_std_1000,std_std_prc
18,4.329939212,2.610810325,2.023028732,183.1757967,-167.2346229,0.05,-3.290023436,-27.56442361,0.175,0.225,0.247
19,3.892609935,2.056654551,1.837099499,136.3623991,-153.68443269999997,0.05,-5.316618663,-17.7775093,0.175,0.225,0.247
20,3.697134732,1.808039751,1.66451946,130.7243395,-142.3355422,0.05,-1.821822169,-19.58247178,0.175,0.225,0.247
21,5.185546362,2.953923005,3.072906971,229.6616147,-255.3201265,0.05,25.11439013,-32.87020523,0.175,0.225,0.247
22,4.416211517,2.500587073,2.261742244,180.1557441,-195.6326571,0.05,-10.85187817,-57.83684004,0.175,0.225,0.247
23,4.097991176,2.13219614,1.804131577,144.9765849,-170.5960134,0.05,-31.89907228,-26.70383637,0.175,0.225,0.247
24,3.822723666,1.798643549,1.5766355,123.8316485,-149.2224869,0.05,-26.70601537,-27.09381683,0.175,0.225,0.247
25,3.712076621,1.70171504,1.424391466,117.0240114,-134.66673830000002,0.05,-25.33791322,-27.54899801,0.175,0.225,0.247
26,3.545927256,1.0109935,0.7271136709999999,108.5130546,-69.74196057,0.05,-37.51374015,-63.84923511,0.175,0.225,0.247
27,3.427291614,0.947930991,0.603301054,105.9177188,-119.455252,0.05,-88.75015529,-80.91906372,0.175,0.225,0.247
28,2.494505479,0.517660502,0.8093197959999999,60.88107377,-113.6612234,0.05,-43.28251311,8.414477565,0.175,0.225,0.247
29,2.644910816,0.5090230920000001,0.808385751,84.25355952,-110.5972392,0.05,-47.88457266,15.52214708,0.175,0.225,0.247
30,3.609254037,0.85451759,0.819482618,115.4689609,-108.5044399,0.05,20.00900414,31.23655781,0.175,0.225,0.247
31,3.451802422,0.6961536070000001,0.659359179,76.99633729,-135.336453,0.05,-9.118133276,14.98791738,0.175,0.225,0.247
32,2.572842697,0.515824013,0.640878784,30.29000816,-39.71914502,0.05,-33.71711305,53.12651829,0.175,0.225,0.247
33,3.615503065,0.999002411,0.7776104359999999,78.40312493,-91.77697001,0.05,-54.95085628,18.73750768,0.175,0.225,0.247
34,3.258797294,0.6852887559999999,0.593548915,65.13756338,-76.37513297,0.05,-87.94701704,62.09443894,0.175,0.225,0.247
35,3.091436309,0.526237683,0.5787996639999999,46.94032958,-142.1650094,0.05,-43.19598509,59.23501901,0.175,0.225,0.247
36,2.926528847,0.456086361,0.52142391,37.24432915,-107.4107114,0.05,-59.00726438,43.95506636,0.175,0.225,0.247
37,3.884016798,1.021964764,1.014313216,167.03312590000004,-112.5360683,0.05,23.30793789,7.124382778999999,0.175,0.225,0.247
38,3.686675999,0.808943379,0.828825932,129.29572679999998,-107.7763301,0.05,18.52305879,-52.81976449,0.175,0.225,0.247
39,3.38505882,0.651115818,0.6252722039999999,113.3186798,-69.93468808,0.05,0.76604731,-25.46098763,0.175,0.225,0.247
40,3.3322630560000004,0.605071076,0.574681863,102.8196649,-44.08638668,0.05,-6.035710957,-0.7613827740000001,0.175,0.225,0.247
41,3.164193162,0.564825382,0.57529717,71.21093445,-50.85777691,0.05,-16.33013037,4.220100935,0.175,0.225,0.247
42,3.124397726,0.977224171,1.009120559,95.00271982,-52.70724774,0.05,-29.84236987,75.79423463,0.175,0.225,0.247
43,3.255818892,0.905119224,0.979175083,116.0676442,-31.36968337,0.05,95.24909727,115.7587965,0.175,0.225,0.247
44,3.241238104,0.7632376609999999,0.7931714540000001,96.16536251,-28.3415537,0.05,52.69326502,120.615835,0.175,0.225,0.247
45,3.155780644,0.611544741,0.6407916,67.97719847,-37.83919611,0.05,34.52890484,119.7808381,0.175,0.225,0.247
46,3.124316894,0.5657645689999999,0.61141962,70.11188115,-38.67603344,0.05,29.7984242,109.0276227,0.175,0.225,0.247
47,3.4189389510000003,0.729827063,0.801714108,66.45000761,-92.0616615,0.05,-20.69788072,-18.22515836,0.175,0.225,0.247
48,2.7067765460000004,0.483642974,0.870517656,43.55215627,-93.18508043,0.05,-35.91374244,10.9345556,0.175,0.225,0.247
49,3.143728989,0.584045899,0.878481442,49.4008842,-124.7732465,0.05,-24.36101737,42.24946802,0.175,0.225,0.247
50,3.411349465,0.492643833,0.797932194,145.58789,-89.57247056,0.05,42.9523818,117.7679959,0.175,0.225,0.247
51,3.1303272960000004,0.424775904,0.598113896,110.4558869,-71.78354677,0.05,30.95355699,92.38555373,0.175,0.225,0.247
52,2.9312743460000004,0.446710875,0.533957411,84.65696615,-64.26873225,0.05,13.44212034,80.18645467,0.175,0.225,0.247
53,2.425663669,0.473321593,0.4907953089999999,15.66032401,-36.35028532,0.05,-14.0753654,-7.797156727999999,0.175,0.225,0.247
54,3.236016132,0.721963275,0.91398004,170.8238687,-137.4869299,0.05,7.499050201,13.58212608,0.175,0.225,0.247
55,3.429776559,0.746309452,0.768374223,119.347351,-215.1325964,0.05,-26.05967532,24.03007604,0.175,0.225,0.247
56,3.331901261,0.601525455,0.621587545,100.8766621,-157.0567164,0.05,-44.25184181,26.17625218,0.175,0.225,0.247
57,3.248173364,0.584240848,0.611803445,66.01164708,-142.4672699,0.05,-61.06211197,24.21124249,0.175,0.225,0.247
58,3.126374231,0.575564757,0.5414529929999999,79.42892683,-119.0662094,0.05,-61.4742706,12.11401988,0.175,0.225,0.247
59,3.376213289,0.875304992,0.918764109,48.93593579,-197.0922513,0.05,-63.54347539,-64.90774862,0.175,0.225,0.247
60,3.367960987,0.780831907,0.810637776,34.57971149,-132.3538416,0.05,-50.4360595,-82.78959851,0.175,0.225,0.247
61,3.398652686,0.7737769090000001,0.707380868,30.31308085,-118.97233529999998,0.05,-45.79610023,-62.02202733,0.175,0.225,0.247
62,3.183330045,0.575049343,0.5742910179999999,26.97890137,-105.0821525,0.05,-51.03471631,-56.30801999999999,0.175,0.225,0.247
63,3.159243268,0.548788289,0.522294586,25.11554938,-87.52006953,0.05,-69.34292278,-49.02405681,0.175,0.225,0.247
64,3.151830834,0.539622618,0.522123372,26.48609102,-85.03071182,0.05,-68.18502244,-46.21600104,0.175,0.225,0.247
65,2.967974921,0.6186507729999999,0.6651364820000001,103.9996763,-98.81646808,0.05,-17.91149648,30.90232719,0.175,0.225,0.247
66,2.635390005,0.561439294,0.550203099,73.12839885,-78.12202604,0.05,-28.40753701,26.90692139,0.175,0.225,0.247
67,3.735437613,1.037937825,1.0359875,54.28436666,-60.68513951,0.05,-5.846496817999999,121.6298328,0.175,0.225,0.247
68,3.302853196,0.6086846029999999,0.766104876,45.18775419,-51.1506208,0.05,-29.8622908,79.68292962,0.175,0.225,0.247
69,3.136036858,0.500834304,0.7046060690000001,40.78667626,-52.38591524,0.05,-41.13835994,55.10435415,0.175,0.225,0.247
70,3.045007799,0.500654657,0.644466122,47.88142513,-58.75393471,0.05,-53.36977729,48.10547369,0.175,0.225,0.247
71,2.775106217,0.436571396,0.467728427,325.3645457,-19.78054877,0.05,-28.77259395,20.30064345,0.175,0.225,0.247
72,3.998275902,0.634074922,1.14941951,404.8537517,-71.81286732,0.05,-16.63950079,82.01180239,0.175,0.225,0.247
73,4.450556202,1.156451915,1.289634002,309.82909069999994,-188.50012,0.05,30.16030072,80.92496732,0.175,0.225,0.247
74,4.306762013,1.17836434,1.537526458,275.2415065,-65.86132773,0.05,4.035583515,148.2785721,0.175,0.225,0.247
75,4.166553785,1.149681313,1.500593846,250.5770127,-78.01918145,0.05,-9.158647334,138.91508000000002,0.175,0.225,0.247
76,3.944417229,1.064861391,1.350836065,180.216392,-76.60400882,0.05,-6.240004717000001,108.4083928,0.175,0.225,0.247
77,3.804091587,0.998070609,1.291304036,164.21866169999996,-73.69086425,0.05,-0.935709539,97.06852311,0.175,0.225,0.247
78,3.811467313,0.981041459,1.243520186,170.8504969,-70.26449112,0.05,3.558116743,97.65161145,0.175,0.225,0.247
79,4.039727043,1.175075121,1.39671514,215.89119280000003,-53.21826875,0.05,3.256549508,109.3544806,0.175,0.225,0.247
80,3.395822054,0.754846805,1.002802517,40.51054698,-55.83918985,0.05,-8.503445257000001,206.3811763,0.175,0.225,0.247
81,3.2142327610000003,0.617864751,0.770801601,29.52861127,-65.38420376,0.05,0.5574131139999999,154.10818740000005,0.175,0.225,0.247
82,3.0116063630000003,0.569367789,0.707045319,29.55974023,-55.84559491,0.05,-1.079736737,137.9737716,0.175,0.225,0.247
83,2.98244701,0.6004997479999999,0.705936803,27.84109549,-56.04240970000001,0.05,-16.70543231,101.8112252,0.175,0.225,0.247
84,3.56240133,1.038207284,0.791779035,129.2146892,-87.45992999,0.05,-31.79976569,35.78102632,0.175,0.225,0.247
85,3.396543153,0.824983505,0.7231887109999999,142.45098269999997,-78.22874231,0.05,-42.35159955,-1.6599584530000002,0.175,0.225,0.247
86,3.116456828,0.4763149820000001,0.55212218,65.97651687,-68.56017875,0.05,-23.38135756,2.053877816,0.175,0.225,0.247
87,2.994217233,0.4178521329999999,0.524297329,55.12653127,-61.00405918,0.05,-23.2874453,-1.6976212080000002,0.175,0.225,0.247
88,3.404939848,0.568623726,0.97595035,116.2678264,-96.39592203,0.05,-23.88911349,58.08010154,0.175,0.225,0.247
89,3.138928,0.475870936,0.840533725,84.93501609,-131.6915765,0.05,-6.052193778,64.08278473,0.175,0.225,0.247
90,2.829796957,0.4336230129999999,0.654660321,60.66170682,-111.0320758,0.05,-43.43480018,59.75354915,0.175,0.225,0.247
91,3.2605678910000004,0.783680024,0.851729429,74.08000379,-45.566915,0.05,-40.8814696,-14.69417742,0.175,0.225,0.247
92,3.18443829,0.745006755,0.6722652640000001,64.25506806,-42.68143426,0.05,-54.77896222,-26.39299449,0.175,0.225,0.247
93,3.027262188,0.638745632,0.55353986,58.65202816,-47.93967875,0.05,-65.20784098,-43.93926916,0.175,0.225,0.247
94,2.911926026,0.56794057,0.486361242,49.53902261,-42.95591064,0.05,-56.58069306,-35.98165302,0.175,0.225,0.247
95,2.8875347810000003,0.546771748,0.47697185,42.7586716,-42.69346329,0.05,-59.80470198,-42.8099289,0.175,0.225,0.247
96,3.55929355,0.750727925,0.856292904,67.76720022,-71.42164222,0.05,-16.31364061,-16.41742142,0.175,0.225,0.247
97,2.730124245,0.7607016259999999,0.626871369,75.55840088,-49.24965389,0.05,-11.32571406,33.71233364,0.175,0.225,0.247
98,4.092735156,0.8353752190000001,1.007276237,83.20336016,-60.41449525,0.05,-36.42883644,51.8774236,0.175,0.225,0.247
99,3.783818703,0.740842083,0.829391282,88.93040837,-154.49401,0.05,-36.55693752,44.32694733,0.175,0.225,0.247
100,3.527465486,0.623217667,0.778191196,77.64219084,-130.5230233,0.05,-11.20574864,59.10362343,0.175,0.225,0.247
101,3.28182695,0.540089733,0.610339544,82.93125283,-108.4995021,0.05,2.206357762,40.72774717,0.175,0.225,0.247
102,3.170679856,0.4852334829999999,0.565300531,66.44470645,-90.94102889,0.05,2.729733974,70.0629405,0.175,0.225,0.247
103,3.637814024,0.767839136,0.7817680290000001,74.48879471,-38.81204939,0.05,-45.75338798,-22.17111175,0.175,0.225,0.247
104,3.586940948,0.7393899340000001,0.689395242,58.24268841,-44.20796938,0.05,-47.94442952,-36.69620609,0.175,0.225,0.247
105,3.52386835,0.632359985,0.562452042,46.82254164,-41.09333577,0.05,-46.61567685,-18.83316816,0.175,0.225,0.247
106,3.378687602,0.583854499,0.532898649,82.53793139,-40.98288504,0.05,-19.6208564,-0.8115213109999999,0.175,0.225,0.247
107,3.2071248160000003,0.5622705889999999,0.519556637,66.74074056,-67.5068272,0.05,-41.93646143,3.546368805,0.175,0.225,0.247
108,3.217305791,0.771885013,0.8426829990000001,74.76949001,-154.34926130000005,0.05,-12.88533182,13.23579746,0.175,0.225,0.247
