,no,nf,time,bns,prc,prc_o,ap,qty,type,profit,prf_opt,mode
0,,,,,,,,,,,,
1,1,211,08-55,s,365.2,362.74,365.25,1,tr 0,0,0,0
2,2,739,09-03,s,365.55,363.08,365.25,1,cover_b_triple,0,0,0
3,3,781,09-03,s,365.3,362.8,365.25,1,b-d-out-test_sig,0,-0.3,0
4,4,831,09-04,s,365.6,363.14,365.25,1,cover_b_triple,0,-0.3,0
5,5,868,09-05,s,365.3,362.8,365.25,1,b-d-out-prc_out_g3,0,-0.6,0
6,6,1728,09-15,s,363.2,360.86,365.25,1,cover_b_bns_check3,0,-0.6,0
7,7,2764,09-30,s,362.75,360.44,365.25,1,b-d-out_gray_strong,0,-1.1,0
8,8,3183,09-36,s,362.7,360.46,365.25,1,cover_b_gray,0,-1.1,0
9,9,3424,09-39,s,363.15,360.94,365.25,1,b-d-out-s1,0,-0.65,0
10,10,3449,09-40,s,363.05,360.8,365.25,1,cover_b_triple,0,-0.65,0
11,11,3610,09-42,s,363.05,360.82,365.25,1,b-d-out_gray,0,-0.7,0
12,12,3741,09-44,s,363.6,361.36,365.25,1,cover_b_bns_check0 : 0.3,0,-0.7,0
13,13,3877,09-46,s,363.25,361.0,365.25,1,b-d-out_gray,0,-1.0,0
